Producto,Precio Descuento,Precio Internet,Precio Anterior
Vivobook S5406S Intel Ultra 7-258V 32GB Ram 1TB SSD,no encontrado,$ 1.499.990,no encontrado
Notebook VAIO FE Series con Intel Core i7 y 16GB Ram,no encontrado,$ 999.990,no encontrado
NOTEBOOK THINKPAD INTEL CORE I5,no encontrado,$ 799.990,no encontrado
NOTEBOOK THINKPAD INTEL CORE I5 DISCO SOLIDO,no encontrado,$ 900.000,no encontrado
REACONDICIONADO B Notebook ThinkPad L470 i5-7200U 8GB 1TB SSD 14,no encontrado,$ 359.990,no encontrado
"Notebook Acer Chromebook 315 15.6"" FHD Intel Celeron N4500 4GB RAM 64GB eMMC + Funda Protectora",no encontrado,no encontrado,no encontrado
Notebook Envy x360 156 FHD Core Ultra 7 16GB 512GB SSD Pantalla Táctil Plateado,no encontrado,$ 1.149.990,no encontrado
Notebook Thinkpad t 480 i7 Octava G,no encontrado,no encontrado,no encontrado
"Macbook Pro 2017, i7, 15.4'', 16 GB RAM, 256 GB SSD, Gris Espacial - Reacondicionado",no encontrado,$ 679.990,no encontrado
Notebook 245 G9 Ryzen 3 3250U 8GB RAM SSD 256GB Windows 11 – 7F211LT,no encontrado,$ 489.990,no encontrado
"MacBook Pro, 16 GB de RAM, 1 TB SSD, gris espacial - Reacondicionado",no encontrado,$ 999.990,no encontrado
"Notebook Latitude 5310, I7-10610U,16GB RAM, 256 GB SSD,REACONDICIONADO GRADO B",no encontrado,no encontrado,no encontrado
"THINKPAD L580 , SSD DE 512 GB , 16 GB EN RAM",no encontrado,no encontrado,no encontrado
Notebook L13 Core I5 10ma Gen 8gb de ram y 512gb SSD,no encontrado,$ 999.990,no encontrado
Notebook Thinkpad Intel core i5 8 GB RAM T470,no encontrado,$ 750.000,no encontrado
"Notebook EliteBook 845 G8 Ryzen 5 SSD 512GB 16GB 14""FHD Wind 11 Pro",no encontrado,$ 1.299.990,no encontrado
"Notebook 245 G9 AMD R3 3250U RAM 16GB SSD 1TB 14"" W11 Pro",no encontrado,$ 569.990,no encontrado
Notebook 460 I5 6TH - 8GB - 256GB Win11-Office365 Reacondicionado,no encontrado,$ 649.000,no encontrado
Notebook Latitude core i5 8 gb de ram y disco ssd,no encontrado,$ 850.000,no encontrado
"Notebook 245 G9 AMD R3 3250U RAM 16GB SSD 512GB 14"" W11 Pro",no encontrado,$ 519.990,no encontrado
"Notebook 245 G9 AMD R3 3250U RAM 32GB SSD 1TB 14"" W11 Pro",no encontrado,$ 629.990,no encontrado
"Notebook Thinkbook 14 G3 Ryzen 7 16GB SSD 512GB 14"" Windows 10 Pro",no encontrado,$ 1.299.990,no encontrado
Notebook ZBook Power 16 G11 Ultra 9 64GB RAM 1TB SSD RTX2000 Windows 11 Pro,no encontrado,no encontrado,no encontrado
Notebook Spectre x360 14-EF2001LA Intel Core i7-1355U 16GB RAM 1TB SSD Pantalla 3K2K OLED + Lápiz,$ 1.449.990,$ 1.469.990,$ 1.899.990
Notebook 2 en 1 Pavilion 14-ek1012la I5 8GB RAM 512GB SSD,no encontrado,$ 939.990,no encontrado
Notebook 15-fd0036la Intel Core i3 8GB RAM 512GB SSD,no encontrado,$ 541.170,no encontrado
"Notebook Ideapad Slim 3 AMD Ryzen 3 7320U 8GB 512GB SSD 15,6"" FHD",$ 399.990,$ 419.990,$ 529.990
"MacBook Pro 2019 16"" Intel Core i7 Gris Espacial 16GB RAM 512GB SSD Reacondicionado",no encontrado,$ 799.990,no encontrado
"MacBook Pro 2019 16"" Intel Core i7 Plata 16GB RAM 512GB SSD Reacondicionado",no encontrado,$ 799.990,no encontrado
MacBook Air 13.3 Chip M1 8GB RAM 256GB - Gris espacial,$ 729.990,$ 819.990,$ 1.089.990
Notebook 2 en 1 Pavilion 14-ek1012la I5 8GB RAM 512GB SSD,no encontrado,$ 939.990,no encontrado
Notebook Thinkpad Core i5,no encontrado,$ 750.000,no encontrado
Computador Thinkpad t460 S,no encontrado,no encontrado,no encontrado
"Notebook Ideapad Slim 3 AMD Ryzen 5 7520U 8GB 512GB SSD 15,6"" FHD + Bolso Regalo",$ 499.990,$ 519.990,$ 549.990
"Notebook Gamer TUF A16 AMD Ryzen 7 16GB RAM 512GB SSD AMD Radeon RX7700S 16"" WUXGA",$ 949.990,$ 1.019.990,$ 1.899.990
"LATITUDE 5411 CORE™ I5-10400 512GB SSD 16GB 14"" FHD WIN10 PRO",no encontrado,$ 999.000,no encontrado
Notebook thinkpad CORE I5 8 GB DE RAM,no encontrado,$ 799.990,no encontrado
NOTEBOOK CORE i5 ELITEBOOK DISCO SSD,no encontrado,$ 799.990,no encontrado
NOTEBOOK CORE I5 DISCO SOLIDO,no encontrado,$ 699.999,no encontrado
Latitude 5420 Intel Core i7 11th Gen 32GB 512 SSD - Reacondicionado,no encontrado,no encontrado,no encontrado
NOTEBOOK INTEL CORE I5 THINKPAD DISCO SOLIDO,no encontrado,$ 750.000,no encontrado
Latitude 7480 -14 pulgadas - Core i5 - 8GB de RAM - SSD de 128 GB - Reacondicionado,no encontrado,$ 399.990,no encontrado
Notebook core i5 thinkpad 8 gb de ram .,no encontrado,$ 750.000,no encontrado
Notebook CORE I5 Elitebook SSD,no encontrado,$ 799.990,no encontrado
Notebook Laptop M415 Ryzen 7 8GB RAM 256GB SSD Reacondicionado,no encontrado,$ 819.990,no encontrado
Notebook CORE I5 8 GB DE RAM Y DISCO SSD,no encontrado,$ 800.000,no encontrado
Notebook 240 G10 Intel Core i3 8GB RAM 512GB SSD,no encontrado,$ 569.990,no encontrado
Notebook E7280 Advanced Windows 11 - Office365 Reacondicionado,no encontrado,$ 549.000,no encontrado
Notebook Envy 2 in 1 16-ad0003la AMD Ryzen 7 16GB RAM 1TB SSD,no encontrado,$ 1.429.990,no encontrado
Macbook Pro 16'' Core I7 16GB RAM 512GB SSD Gris (2019) Reacondicionado,no encontrado,$ 1.599.990,no encontrado
Notebook Thinkpad E14 G2 I3-1115G4 4GB 256SSD W10 Home.,no encontrado,$ 799.990,no encontrado
